[lighthouse_ros-1] [INFO] [1727466690.372403679] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.374915233] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.377393177] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.381100787] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.383557083] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.385900418] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.388500285] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.391550683] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466690.393984146] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466690.396527163] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466690.398873517] [lighthouse_ros]: Angles: [2.1053803029823897, 0.01098520058919461]
[lighthouse_ros-1] [INFO] [1727466690.401566290] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.404215102] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.406802488] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.409280821] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.412442977] [lighthouse_ros]: Angles: [0.02383111507540625, -2.0705639873177892]
[lighthouse_ros-1] [INFO] [1727466690.416008163] [lighthouse_ros]: Angles: [0.02383111507540625, -2.0705639873177892]
[lighthouse_ros-1] [INFO] [1727466690.418356757] [lighthouse_ros]: Angles: [0.02383111507540625, -2.0705639873177892]
[lighthouse_ros-1] [INFO] [1727466690.420705499] [lighthouse_ros]: Angles: [0.02383111507540625, -2.0705639873177892]
[lighthouse_ros-1] [INFO] [1727466690.423959116] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.426367172] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.428723340] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.431147525] [lighthouse_ros]: Angles: [2.105367199363397, 0.010972096970202072]
[lighthouse_ros-1] [INFO] [1727466690.434066740] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.436279318] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
[lighthouse_ros-1] [INFO] [1727466690.439146385] [lighthouse_ros]: Angles: [-2.0943557915362163, -4.188750893929411]
